1000 10
18 1 34.000000
18 2 29.000000
18 3 40.000000
18 4 20.000000
18 5 39.000000
18 6 29.000000
18 7 8.000000
18 8 2.000000
18 9 26.000000
19 0 29.000000
19 1 3.000000
19 2 19.000000
19 3 33.000000
19 4 11.000000
19 5 1.000000
19 6 22.000000
19 7 12.000000
19 8 35.000000
19 9 24.000000
20 0 5.000000
20 1 20.000000
20 2 32.000000
20 3 7.000000
20 4 9.000000
20 5 20.000000
20 6 48.000000
20 7 17.000000
20 8 21.000000
20 9 17.000000
21 0 11.000000
21 1 16.000000
21 2 6.000000
21 3 11.000000
21 4 39.000000
21 5 14.000000
21 6 14.000000
21 7 3.000000
21 8 16.000000
21 9 25.000000
22 0 35.000000
22 1 39.000000
22 2 5.000000
22 3 36.000000
22 4 14.000000
22 5 17.000000
22 6 26.000000
22 7 46.000000
22 8 39.000000
22 9 41.000000
23 0 37.000000
23 1 40.000000
23 2 26.000000
23 3 6.000000
23 4 38.000000
23 5 40.000000
23 6 43.000000
23 7 4.000000
23 8 12.000000
23 9 40.000000
24 0 0.000000
24 1 47.000000
24 2 12.000000
24 3 0.000000
24 4 33.000000
24 5 22.000000
24 6 36.000000
24 7 49.000000
24 8 10.000000
24 9 26.000000
25 0 44.000000
25 1 9.000000
25 2 23.000000
25 3 27.000000
25 4 1.000000
25 5 36.000000
25 6 17.000000
25 7 3.000000
25 8 30.000000
25 9 19.000000
26 0 6.000000
26 1 42.000000
26 2 47.000000
26 3 12.000000
26 4 42.000000
26 5 8.000000
26 6 15.000000
26 7 9.000000
26 8 2.000000
26 9 38.000000
27 0 13.000000
27 1 46.000000
27 2 12.000000
27 3 6.000000
27 4 2.000000
27 5 1.000000
27 6 19.000000
27 7 10.000000
27 8 35.000000
27 9 0.000000
28 0 20.000000
28 1 43.000000
28 2 14.000000
28 3 45.000000
28 4 31.000000
28 5 22.000000
28 6 20.000000
28 7 9.000000
28 8 32.000000
28 9 25.000000
29 0 11.000000
29 1 34.000000
29 2 14.000000
29 3 29.000000
29 4 20.000000
29 5 33.000000
29 6 8.000000
29 7 46.000000
29 8 36.000000
29 9 21.000000
30 0 17.000000
30 1 12.000000
30 2 0.000000
30 3 18.000000
30 4 21.000000
30 5 38.000000
30 6 17.000000
30 7 45.000000
30 8 16.000000
30 9 7.000000
31 0 45.000000
31 1 40.000000
31 2 27.000000
31 3 41.000000
31 4 10.000000
31 5 2.000000
31 6 38.000000
31 7 0.000000
31 8 12.000000
31 9 40.000000
32 0 9.000000
32 1 36.000000
32 2 7.000000
32 3 38.000000
32 4 37.000000
32 5 16.000000
32 6 38.000000
32 7 16.000000
32 8 44.000000
32 9 5.000000
33 0 36.000000
33 1 15.000000
33 2 3.000000
33 3 49.000000
33 4 42.000000
33 5 7.000000
33 6 22.000000
33 7 21.000000
33 8 38.000000
33 9 1.000000
34 0 46.000000
34 1 24.000000
34 2 11.000000
34 3 47.000000
34 4 4.000000
34 5 48.000000
34 6 10.000000
34 7 9.000000
34 8 25.000000
34 9 27.000000
35 0 27.000000
35 1 45.000000
35 2 8.000000
35 3 20.000000
35 4 21.000000
35 5 16.000000
35 6 8.000000
35 7 18.000000
35 8 36.000000
35 9 14.000000
36 0 37.000000
36 1 36.000000
36 2 33.000000
36 3 42.000000
36 4 24.000000
36 5 22.000000
36 6 20.000000
36 7 2.000000
36 8 25.000000
36 9 43.000000
37 0 45.000000
37 1 5.000000
37 2 1.000000
37 3 11.000000
37 4 14.000000
37 5 11.000000
37 6 20.000000
37 7 33.000000
37 8 31.000000
37 9 24.000000
38 0 35.000000
38 1 32.000000
38 2 42.000000
38 3 26.000000
38 4 20.000000
38 5 47.000000
38 6 14.000000
38 7 3.000000
38 8 45.000000
38 9 13.000000
39 0 27.000000
39 1 28.000000
39 2 11.000000
39 3 23.000000
39 4 2.000000
39 5 18.000000
39 6 40.000000
39 7 19.000000
39 8 36.000000
39 9 38.000000
40 0 31.000000
40 1 17.000000
40 2 22.000000
40 3 29.000000
40 4 6.000000
40 5 27.000000
40 6 4.000000
40 7 16.000000
40 8 25.000000
40 9 26.000000
41 0 13.000000
41 1 43.000000
41 2 1.000000
41 3 2.000000
41 4 29.000000
41 5 44.000000
41 6 8.000000
41 7 17.000000
41 8 17.000000
41 9 6.000000
42 0 40.000000
42 1 43.000000
42 2 32.000000
42 3 17.000000
42 4 30.000000
42 5 11.000000
42 6 42.000000
42 7 34.000000
42 8 12.000000
42 9 12.000000
43 0 3.000000
43 1 43.000000
43 2 23.000000
43 3 31.000000
43 4 33.000000
43 5 37.000000
43 6 21.000000
43 7 40.000000
43 8 9.000000
43 9 4.000000
44 0 45.000000
44 1 35.000000
44 2 28.000000
44 3 31.000000
44 4 18.000000
44 5 39.000000
44 6 37.000000
44 7 5.000000
44 8 21.000000
44 9 24.000000
45 0 4.000000
45 1 24.000000
45 2 41.000000
45 3 43.000000
45 4 26.000000
45 5 9.000000
45 6 49.000000
45 7 22.000000
45 8 1.000000
45 9 27.000000
46 0 40.000000
46 1 43.000000
46 2 11.000000
46 3 5.000000
46 4 39.000000
46 5 24.000000
46 6 16.000000
46 7 30.000000
46 8 40.000000
46 9 19.000000
47 0 45.000000
47 1 41.000000
47 2 48.000000
47 3 33.000000
47 4 42.000000
47 5 43.000000
47 6 10.000000
47 7 41.000000
47 8 27.000000
47 9 28.000000
48 0 0.000000
48 1 34.000000
48 2 20.000000
48 3 36.000000
48 4 35.000000
48 5 24.000000
48 6 6.000000
48 7 32.000000
48 8 3.000000
48 9 32.000000
49 0 28.000000
49 1 44.000000
49 2 34.000000
49 3 45.000000
49 4 6.000000
49 5 14.000000
49 6 3.000000
49 7 17.000000
49 8 0.000000
49 9 18.000000
50 0 43.000000
50 1 29.000000
50 2 12.000000
50 3 8.000000
50 4 1.000000
50 5 45.000000
50 6 39.000000
50 7 15.000000
50 8 7.000000
50 9 26.000000
51 0 12.000000
51 1 49.000000
51 2 1.000000
51 3 6.000000
51 4 9.000000
51 5 6.000000
51 6 34.000000
51 7 46.000000
51 8 28.000000
51 9 49.000000
52 0 35.000000
52 1 14.000000
52 2 14.000000
52 3 8.000000
52 4 10.000000
52 5 49.000000
52 6 14.000000
52 7 44.000000
52 8 2.000000
52 9 32.000000
53 0 27.000000
53 1 12.000000
53 2 45.000000
53 3 8.000000
53 4 12.000000
53 5 8.000000
53 6 26.000000
53 7 45.000000
53 8 41.000000
53 9 43.000000
54 0 44.000000
54 1 12.000000
54 2 18.000000
54 3 49.000000
54 4 39.000000
54 5 48.000000
54 6 32.000000
54 7 26.000000
54 8 20.000000
54 9 5.000000
55 0 46.000000
55 1 9.000000
55 2 19.000000
55 3 28.000000
55 4 34.000000
55 5 40.000000
55 6 42.000000
55 7 16.000000
55 8 42.000000
55 9 1.000000
56 0 7.000000
56 1 49.000000
56 2 39.000000
56 3 2.000000
56 4 39.000000
56 5 11.000000
56 6 23.000000
56 7 6.000000
56 8 18.000000
56 9 24.000000
57 0 22.000000
57 1 45.000000
57 2 18.000000
57 3 37.000000
57 4 19.000000
57 5 49.000000
57 6 22.000000
57 7 17.000000
57 8 24.000000
57 9 23.000000
58 0 33.000000
58 1 17.000000
58 2 41.000000
58 3 24.000000
58 4 44.000000
58 5 29.000000
58 6 13.000000
58 7 29.000000
58 8 5.000000
58 9 11.000000
59 0 39.000000
59 1 3.000000
59 2 49.000000
59 3 21.000000
59 4 14.000000
59 5 29.000000
59 6 8.000000
59 7 48.000000
59 8 16.000000
59 9 31.000000
60 0 38.000000
60 1 16.000000
60 2 37.000000
60 3 4.000000
60 4 42.000000
60 5 7.000000
60 6 1.000000
60 7 36.000000
60 8 24.000000
60 9 41.000000
61 0 24.000000
61 1 2.000000
61 2 36.000000
61 3 15.000000
61 4 47.000000
61 5 23.000000
61 6 6.000000
61 7 41.000000
61 8 3.000000
61 9 15.000000
62 0 30.000000
62 1 1.000000
62 2 5.000000
62 3 20.000000
62 4 47.000000
62 5 9.000000
62 6 13.000000
62 7 7.000000
62 8 7.000000
62 9 12.000000
63 0 9.000000
63 1 13.000000
63 2 41.000000
63 3 13.000000
63 4 5.000000
63 5 26.000000
63 6 42.000000
63 7 37.000000
63 8 31.000000
63 9 24.000000
64 0 35.000000
64 1 43.000000
64 2 35.000000
64 3 25.000000
64 4 41.000000
64 5 4.000000
64 6 35.000000
64 7 27.000000
64 8 13.000000
64 9 4.000000
65 0 10.000000
65 1 38.000000
65 2 38.000000
65 3 26.000000
65 4 10.000000
65 5 16.000000
65 6 6.000000
65 7 3.000000
65 8 4.000000
65 9 44.000000
66 0 38.000000
66 1 24.000000
66 2 41.000000
66 3 43.000000
66 4 1.000000
66 5 1.000000
66 6 10.000000
66 7 14.000000
66 8 36.000000
66 9 48.000000
67 0 42.000000
67 1 20.000000
67 2 13.000000
67 3 18.000000
67 4 42.000000
67 5 22.000000
67 6 17.000000
67 7 34.000000
67 8 44.000000
67 9 12.000000
68 0 7.000000
68 1 18.000000
68 2 44.000000
68 3 19.000000
68 4 18.000000
68 5 49.000000
68 6 29.000000
68 7 11.000000
68 8 22.000000
68 9 47.000000
69 0 25.000000
69 1 40.000000
69 2 2.000000
69 3 7.000000
69 4 38.000000
69 5 8.000000
69 6 16.000000
69 7 47.000000
69 8 38.000000
69 9 46.000000
70 0 3.000000
70 1 14.000000
70 2 30.000000
70 3 0.000000
70 4 21.000000
70 5 24.000000
70 6 13.000000
70 7 48.000000
70 8 11.000000
70 9 39.000000
71 0 14.000000
71 1 15.000000
71 2 49.000000
71 3 0.000000
71 4 44.000000
71 5 30.000000
71 6 35.000000
71 7 0.000000
71 8 6.000000
71 9 7.000000
72 0 31.000000
72 1 25.000000
72 2 37.000000
72 3 49.000000
72 4 49.000000
72 5 13.000000
72 6 23.000000
72 7 15.000000
72 8 8.000000
72 9 12.000000
73 0 7.000000
73 1 42.000000
73 2 9.000000
73 3 48.000000
73 4 22.000000
73 5 2.000000
73 6 24.000000
73 7 35.000000
73 8 25.000000
73 9 7.000000
74 0 39.000000
74 1 11.000000
74 2 26.000000
74 3 43.000000
74 4 10.000000
74 5 33.000000
74 6 22.000000
74 7 20.000000
74 8 20.000000
74 9 3.000000
75 0 47.000000
75 1 11.000000
75 2 25.000000
75 3 1.000000
75 4 1.000000
75 5 39.000000
75 6 2.000000
75 7 49.000000
75 8 22.000000
75 9 16.000000
76 0 33.000000
76 1 22.000000
76 2 42.000000
76 3 23.000000
76 4 44.000000
76 5 38.000000
76 6 20.000000
76 7 8.000000
76 8 0.000000
76 9 36.000000
77 0 40.000000
77 1 28.000000
77 2 37.000000
77 3 4.000000
77 4 47.000000
77 5 18.000000
77 6 26.000000
77 7 6.000000
77 8 29.000000
77 9 5.000000
78 0 14.000000
78 1 3.000000
78 2 1.000000
78 3 46.000000
78 4 10.000000
78 5 28.000000
78 6 12.000000
78 7 20.000000
78 8 1.000000
78 9 20.000000
79 0 32.000000
79 1 34.000000
79 2 7.000000
79 3 49.000000
79 4 15.000000
79 5 0.000000
79 6 6.000000
79 7 11.000000
79 8 24.000000
79 9 37.000000
80 0 3.000000
80 1 36.000000
80 2 7.000000
80 3 15.000000
80 4 26.000000
80 5 29.000000
80 6 22.000000
80 7 4.000000
80 8 4.000000
80 9 27.000000
81 0 8.000000
81 1 14.000000
81 2 19.000000
81 3 42.000000
81 4 20.000000
81 5 32.000000
81 6 44.000000
81 7 39.000000
81 8 26.000000
81 9 29.000000
82 0 3.000000
82 1 6.000000
82 2 25.000000
82 3 33.000000
82 4 32.000000
82 5 26.000000
82 6 17.000000
82 7 2.000000
82 8 37.000000
82 9 1.000000
83 0 15.000000
83 1 17.000000
83 2 10.000000
83 3 27.000000
83 4 5.000000
83 5 49.000000
83 6 33.000000
83 7 30.000000
83 8 47.000000
83 9 34.000000
84 0 18.000000
84 1 26.000000
84 2 36.000000
84 3 27.000000
84 4 11.000000
84 5 16.000000
84 6 49.000000
84 7 4.000000
84 8 2.000000
84 9 31.000000
85 0 34.000000
85 1 29.000000
85 2 2.000000
85 3 49.000000
85 4 46.000000
85 5 39.000000
85 6 29.000000
85 7 4.000000
85 8 2.000000
85 9 0.000000
86 0 17.000000
86 1 13.000000
86 2 44.000000
86 3 32.000000
86 4 10.000000
86 5 46.000000
86 6 47.000000
86 7 3.000000
86 8 20.000000
86 9 23.000000
87 0 9.000000
87 1 16.000000
87 2 15.000000
87 3 9.000000
87 4 3.000000
87 5 47.000000
87 6 45.000000
87 7 40.000000
87 8 48.000000
87 9 44.000000
88 0 34.000000
88 1 16.000000
88 2 35.000000
88 3 39.000000
88 4 9.000000
88 5 43.000000
88 6 40.000000
88 7 22.000000
88 8 43.000000
88 9 35.000000
89 0 22.000000
89 1 39.000000
89 2 10.000000
89 3 12.000000
89 4 12.000000
89 5 33.000000
89 6 1.000000
89 7 41.000000
89 8 30.000000
89 9 15.000000
90 0 11.000000
90 1 40.000000
90 2 1.000000
90 3 43.000000
90 4 30.000000
90 5 46.000000
90 6 30.000000
90 7 24.000000
90 8 12.000000
90 9 45.000000
91 0 49.000000
91 1 25.000000
91 2 11.000000
91 3 28.000000
91 4 34.000000
91 5 36.000000
91 6 45.000000
91 7 31.000000
91 8 22.000000
91 9 30.000000
92 0 41.000000
92 1 9.000000
92 2 21.000000
92 3 37.000000
92 4 28.000000
92 5 21.000000
92 6 4.000000
92 7 17.000000
92 8 25.000000
92 9 34.000000
93 0 35.000000
93 1 8.000000
93 2 14.000000
93 3 22.000000
93 4 38.000000
93 5 23.000000
93 6 48.000000
93 7 9.000000
93 8 39.000000
93 9 11.000000
94 0 0.000000
94 1 41.000000
94 2 34.000000
94 3 0.000000
94 4 12.000000
94 5 5.000000
94 6 30.000000
94 7 19.000000
94 8 48.000000
94 9 18.000000
95 0 24.000000
95 1 13.000000
95 2 6.000000
95 3 47.000000
95 4 33.000000
95 5 2.000000
95 6 8.000000
95 7 11.000000
95 8 9.000000
95 9 31.000000
96 0 2.000000
96 1 9.000000
96 2 15.000000
96 3 34.000000
96 4 40.000000
96 5 39.000000
96 6 47.000000
96 7 6.000000
96 8 15.000000
96 9 24.000000
97 0 13.000000
97 1 19.000000
97 2 20.000000
97 3 2.000000
97 4 17.000000
97 5 22.000000
97 6 46.000000
97 7 33.000000
97 8 12.000000
97 9 4.000000
98 0 13.000000
98 1 29.000000
98 2 4.000000
98 3 16.000000
98 4 29.000000
98 5 3.000000
98 6 5.000000
98 7 35.000000
98 8 23.000000
98 9 39.000000
99 0 19.000000
99 1 2.000000
99 2 38.000000
99 3 47.000000
99 4 31.000000
99 5 26.000000
99 6 31.000000
99 7 10.000000
99 8 40.000000
99 9 27.000000
100 0 38.000000
100 1 30.000000
100 2 33.000000
100 3 19.000000
100 4 18.000000
100 5 20.000000
100 6 1.000000
100 7 26.000000
100 8 6.000000
100 9 48.000000
101 0 48.000000
101 1 17.000000
101 2 44.000000
101 3 7.000000
101 4 0.000000
101 5 38.000000
101 6 3.000000
101 7 5.000000
101 8 49.000000
101 9 46.000000
102 0 47.000000
102 1 38.000000
102 2 4.000000
102 3 41.000000
102 4 23.000000
102 5 31.000000
102 6 47.000000
102 7 20.000000
102 8 5.000000
102 9 47.000000
103 0 42.000000
103 1 0.000000
103 2 5.000000
103 3 15.000000
103 4 36.000000
103 5 1.000000
103 6 26.000000
103 7 31.000000
103 8 42.000000
103 9 8.000000
104 0 28.000000
104 1 7.000000
104 2 18.000000
104 3 31.000000
104 4 45.000000
104 5 33.000000
104 6 29.000000
104 7 34.000000
104 8 3.000000
104 9 34.000000
105 0 48.000000
105 1 26.000000
105 2 42.000000
105 3 14.000000
105 4 49.000000
105 5 16.000000
105 6 43.000000
105 7 9.000000
105 8 26.000000
105 9 4.000000
106 0 1.000000
106 1 19.000000
106 2 23.000000
106 3 26.000000
106 4 4.000000
106 5 41.000000
106 6 15.000000
106 7 42.000000
106 8 20.000000
106 9 13.000000
107 0 24.000000
107 1 16.000000
107 2 0.000000
107 3 18.000000
107 4 43.000000
107 5 46.000000
107 6 47.000000
107 7 15.000000
107 8 34.000000
107 9 6.000000
108 0 9.000000
108 1 39.000000
108 2 15.000000
108 3 44.000000
108 4 32.000000
108 5 36.000000
108 6 21.000000
108 7 47.000000
108 8 21.000000
108 9 36.000000
109 0 11.000000
109 1 32.000000
109 2 26.000000
109 3 13.000000
109 4 39.000000
109 5 48.000000
109 6 19.000000
109 7 27.000000
109 8 33.000000
109 9 40.000000
110 0 32.000000
110 1 41.000000
110 2 45.000000
110 3 12.000000
110 4 13.000000
110 5 1.000000
110 6 26.000000
110 7 35.000000
110 8 30.000000
110 9 30.000000
111 0 1.000000
111 1 26.000000
111 2 46.000000
111 3 31.000000
111 4 44.000000
111 5 3.000000
111 6 27.000000
111 7 4.000000
111 8 3.000000
111 9 21.000000
112 0 16.000000
112 1 36.000000
112 2 38.000000
112 3 22.000000
112 4 22.000000
112 5 11.000000
112 6 12.000000
112 7 26.000000
112 8 25.000000
112 9 8.000000
113 0 25.000000
113 1 29.000000
113 2 31.000000
113 3 46.000000
113 4 16.000000
113 5 9.000000
113 6 24.000000
113 7 29.000000
113 8 40.000000
113 9 28.000000
114 0 10.000000
114 1 47.000000
114 2 28.000000
114 3 42.000000
114 4 5.000000
114 5 7.000000
114 6 49.000000
114 7 39.000000
114 8 31.000000
114 9 41.000000
115 0 15.000000
115 1 36.000000
115 2 30.000000
115 3 26.000000
115 4 48.000000
115 5 13.000000
115 6 36.000000
115 7 13.000000
115 8 4.000000
115 9 46.000000
116 0 40.000000
116 1 47.000000
116 2 20.000000
116 3 39.000000
116 4 45.000000
116 5 2.000000
116 6 45.000000
116 7 22.000000
116 8 6.000000
116 9 37.000000
117 0 45.000000
117 1 40.000000
117 2 20.000000
117 3 37.000000
117 4 40.000000
117 5 20.000000
117 6 42.000000
117 7 4.000000
117 8 7.000000
117 9 34.000000
118 0 18.000000
118 1 42.000000
118 2 5.000000
118 3 3.000000
118 4 39.000000
118 5 16.000000
118 6 44.000000
118 7 4.000000
118 8 44.000000
118 9 37.000000
119 0 46.000000
119 1 12.000000
119 2 18.000000
119 3 3.000000
119 4 13.000000
119 5 37.000000
119 6 33.000000
119 7 7.000000
119 8 8.000000
119 9 48.000000
120 0 47.000000
120 1 11.000000
120 2 6.000000
120 3 43.000000
120 4 1.000000
120 5 24.000000
120 6 28.000000
120 7 17.000000
120 8 22.000000
120 9 15.000000
121 0 3.000000
121 1 7.000000
121 2 13.000000
121 3 14.000000
121 4 33.000000
121 5 6.000000
121 6 23.000000
121 7 37.000000
121 8 21.000000
121 9 36.000000
122 0 12.000000
122 1 17.000000
122 2 44.000000
122 3 38.000000
122 4 2.000000
122 5 49.000000
122 6 38.000000
122 7 21.000000
122 8 33.000000
122 9 3.000000
123 0 2.000000
123 1 2.000000
123 2 31.000000
123 3 45.000000
123 4 43.000000
123 5 27.000000
123 6 6.000000
123 7 47.000000
123 8 3.000000
123 9 1.000000
124 0 25.000000
124 1 15.000000
124 2 7.000000
124 3 20.000000
124 4 31.000000
124 5 18.000000
124 6 4.000000
124 7 13.000000
124 8 43.000000
124 9 22.000000
125 0 28.000000
125 1 17.000000
125 2 7.000000
125 3 49.000000
125 4 3.000000
125 5 7.000000
125 6 9.000000
125 7 29.000000
125 8 16.000000
125 9 47.000000
126 0 6.000000
126 1 5.000000
126 2 31.000000
126 3 49.000000
126 4 6.000000
126 5 36.000000
126 6 9.000000
126 7 15.000000
126 8 48.000000
126 9 17.000000
127 0 7.000000
127 1 22.000000
127 2 2.000000
127 3 9.000000
127 4 31.000000
127 5 17.000000
127 6 34.000000
127 7 24.000000
127 8 48.000000
127 9 10.000000
128 0 9.000000
128 1 14.000000
128 2 42.000000
128 3 10.000000
128 4 49.000000
128 5 18.000000
128 6 49.000000
128 7 1.000000
128 8 16.000000
128 9 7.000000
129 0 0.000000
129 1 12.000000
129 2 49.000000
129 3 48.000000
129 4 38.000000
129 5 29.000000
129 6 9.000000
129 7 41.000000
129 8 36.000000
129 9 36.000000
130 0 10.000000
130 1 9.000000
130 2 31.000000
130 3 23.000000
130 4 13.000000
130 5 3.000000
130 6 6.000000
130 7 48.000000
130 8 39.000000
130 9 11.000000
131 0 0.000000
131 1 43.000000
131 2 10.000000
131 3 49.000000
131 4 22.000000
131 5 33.000000
131 6 38.000000
131 7 48.000000
131 8 43.000000
131 9 24.000000
132 0 38.000000
132 1 17.000000
132 2 37.000000
132 3 35.000000
132 4 33.000000
132 5 37.000000
132 6 40.000000
132 7 3.000000
132 8 1.000000
132 9 17.000000
133 0 5.000000
133 1 20.000000
133 2 32.000000
133 3 32.000000
133 4 31.000000
133 5 12.000000
133 6 5.000000
133 7 28.000000
133 8 40.000000
133 9 40.000000
134 0 40.000000
134 1 49.000000
134 2 38.000000
134 3 47.000000
134 4 11.000000
134 5 19.000000
134 6 47.000000
134 7 22.000000
134 8 3.000000
134 9 35.000000
135 0 41.000000
135 1 40.000000
135 2 42.000000
135 3 34.000000
135 4 19.000000
135 5 6.000000
135 6 48.000000
135 7 37.000000
135 8 6.000000
135 9 48.000000
136 0 34.000000
136 1 25.000000
136 2 31.000000
136 3 36.000000
136 4 12.000000
136 5 47.000000
136 6 20.000000
136 7 17.000000
136 8 17.000000
136 9 16.000000
137 0 8.000000
137 1 8.000000
137 2 15.000000
137 3 22.000000
137 4 20.000000
137 5 9.000000
137 6 21.000000
137 7 5.000000
137 8 9.000000
137 9 7.000000
138 0 11.000000
138 1 38.000000
138 2 6.000000
138 3 29.000000
138 4 23.000000
138 5 22.000000
138 6 3.000000
138 7 7.000000
138 8 35.000000
138 9 5.000000
139 0 22.000000
139 1 45.000000
139 2 19.000000
139 3 25.000000
139 4 3.000000
139 5 0.000000
139 6 3.000000
139 7 14.000000
139 8 10.000000
139 9 5.000000
140 0 34.000000
140 1 4.000000
140 2 1.000000
140 3 16.000000
140 4 7.000000
140 5 37.000000
140 6 28.000000
140 7 23.000000
140 8 23.000000
140 9 49.000000
141 0 20.000000
141 1 6.000000
141 2 4.000000
141 3 6.000000
141 4 5.000000
141 5 24.000000
141 6 11.000000
141 7 6.000000
141 8 25.000000
141 9 44.000000
142 0 28.000000
142 1 24.000000
142 2 31.000000
142 3 5.000000
142 4 48.000000
142 5 2.000000
142 6 11.000000
142 7 37.000000
142 8 16.000000
142 9 44.000000
143 0 34.000000
143 1 20.000000
143 2 49.000000
143 3 9.000000
143 4 22.000000
143 5 6.000000
143 6 33.000000
143 7 36.000000
143 8 4.000000
143 9 7.000000
144 0 9.000000
144 1 22.000000
144 2 44.000000
144 3 12.000000
144 4 43.000000
144 5 0.000000
144 6 19.000000
144 7 19.000000
144 8 33.000000
144 9 25.000000
145 0 2.000000
145 1 15.000000
145 2 44.000000
145 3 23.000000
145 4 24.000000
145 5 0.000000
145 6 36.000000
145 7 27.000000
145 8 9.000000
145 9 3.000000
146 0 46.000000
146 1 16.000000
146 2 19.000000
146 3 49.000000
146 4 34.000000
146 5 35.000000
146 6 40.000000
146 7 48.000000
146 8 5.000000
146 9 23.000000
147 0 22.000000
147 1 41.000000
147 2 26.000000
147 3 34.000000
147 4 31.000000
147 5 1.000000
147 6 37.000000
147 7 18.000000
147 8 28.000000
147 9 29.000000
148 0 23.000000
148 1 24.000000
148 2 47.000000
148 3 9.000000
148 4 27.000000
148 5 36.000000
148 6 20.000000
148 7 45.000000
148 8 42.000000
148 9 47.000000
149 0 22.000000
149 1 24.000000
149 2 11.000000
149 3 45.000000
149 4 15.000000
149 5 41.000000
149 6 15.000000
149 7 8.000000
149 8 18.000000
149 9 35.000000
150 0 19.000000
150 1 47.000000
150 2 13.000000
150 3 1.000000
150 4 35.000000
150 5 49.000000
150 6 25.000000
150 7 29.000000
150 8 47.000000
150 9 11.000000
151 0 49.000000
151 1 25.000000
151 2 11.000000
151 3 2.000000
151 4 20.000000
151 5 1.000000
151 6 10.000000
151 7 38.000000
151 8 10.000000
151 9 28.000000
152 0 1.000000
152 1 16.000000
152 2 5.000000
152 3 17.000000
152 4 4.000000
152 5 6.000000
152 6 11.000000
152 7 45.000000
152 8 45.000000
152 9 22.000000
153 0 23.000000
153 1 4.000000
153 2 27.000000
153 3 47.000000
153 4 30.000000
153 5 15.000000
153 6 22.000000
153 7 22.000000
153 8 45.000000
153 9 20.000000
154 0 32.000000
154 1 40.000000
154 2 42.000000
154 3 42.000000
154 4 12.000000
154 5 47.000000
154 6 45.000000
154 7 20.000000
154 8 24.000000
154 9 30.000000
155 0 20.000000
155 1 31.000000
155 2 22.000000
155 3 18.000000
